gene_id1,gene_id2,p_val_cond
Col1a1,Dhcr24,2.929878561985788e-13
Fbln2,Thbs1,2.968736367847669e-13
Aebp1,Col5a2,3.176348073452573e-13
Flnb,Flnc,3.365085987638849e-13
Col3a1,Col6a3,3.587130592563881e-13
Col6a3,Fbln2,3.871347686867921e-13
Adamts1,Fn1,3.93574062229618e-13
Col1a1,Plxnb2,4.137801212777958e-13
Fn1,Stt3a,4.365396932826116e-13
Adm,Thbs1,5.030420524576584e-13
Col1a1,Prss23,5.262457136723242e-13
Serpinf1,Serpinh1,5.504485756091526e-13
Angptl2,Fn1,5.643263634169671e-13
Calu,Col5a1,5.655476087440547e-13
Ckap4,Lox,5.794253965518692e-13
Col6a2,Sec61a1,5.796474411567942e-13
Ddb1,Myh9,6.975531263719859e-13
Lox,Postn,7.490674747145931e-13
Kif1c,Palld,7.674971769233707e-13
Fkbp10,Fn1,8.311129562343922e-13
Calu,Postn,9.584555371588976e-13
Aebp1,Itgb1,1.018074513581269e-12
Fn1,Gas1,1.032951502111246e-12
Fn1,Pcdh19,1.052158360437261e-12
Col5a1,Serpinh1,1.155631146332325e-12
Cdh2,Fn1,1.160183060733289e-12
Emp1,Itgb1,1.199707000409944e-12
Fbln2,Fbln5,1.258992909924928e-12
Col5a2,Pdia6,1.361022405887979e-12
Col6a2,Timp3,1.389777182225771e-12
Cd248,Emp1,1.731503829205394e-12
Fbln2,Glg1,1.969535645685028e-12
Cd248,Col6a2,2.075228877629343e-12
Aebp1,Pdia3,2.1271873151818e-12
Bgn,Col3a1,2.176259172870232e-12
Nid1,Serpine1,2.188804693048496e-12
Fn1,Man2a1,2.503441898227265e-12
Col3a1,P4hb,2.882916128044144e-12
Thbs1,Vcl,2.975175661390494e-12
Lox,Tnc,2.99482660892636e-12
Bgn,Pdia4,3.012368132715437e-12
Crim1,Fbln2,3.014477556462225e-12
Fn1,Pdgfrb,3.043787444312329e-12
Pdia3,Sec61a1,3.059996700471856e-12
Aebp1,Axl,3.060551811984169e-12
Col6a2,Nucb1,3.660516334491604e-12
Fn1,Pxdn,3.792188785212147e-12
Lamc1,Nid1,4.00857125271159e-12
Bgn,Timp3,4.257372232530088e-12
Nid1,Vasn,4.472311410097518e-12
Ckap4,Col6a1,4.494404848287559e-12
Nid1,Vcl,4.619193916255426e-12
Col5a1,Lamc1,5.180189610598518e-12
Pdia6,Serpinf1,5.268785407963605e-12
Col4a2,Fbln2,5.356159960001605e-12
Bgn,Il6st,5.666689339989261e-12
Aqp1,Col1a1,5.743072684083472e-12
Aebp1,Emp1,5.810463221678219e-12
Postn,Sec61a1,7.576828053856843e-12
Fbln2,Fstl1,7.853939720803282e-12
Col5a1,Thbs1,8.106626481207968e-12
Col1a1,Ltbp1,8.173905996500253e-12
Col1a1,Hyou1,8.302913911961696e-12
Ptx3,Slc38a2,9.599876449328804e-12
Col6a2,Myadm,9.879874696139268e-12
Col1a1,Slc7a5,9.900080755187446e-12
Igf2,Lox,1.000255434036035e-11
Fstl1,Lox,1.013877870548185e-11
Fn1,Slc7a5,1.016287054511622e-11
Col3a1,Serpinh1,1.033406693551342e-11
Col6a2,Lamc1,1.065592059035225e-11
Nid1,Postn,1.100131097331314e-11
Fbn1,Hspg2,1.120625814365894e-11
Pdia3,Serpinf1,1.125421977832275e-11
Fbln2,Timp3,1.131694737921407e-11
Fn1,Pcdh18,1.20241594459003e-11
Chpf,Fn1,1.239464086921771e-11
Fn1,Sdc1,1.245292757801053e-11
Col1a1,Ldlr,1.337130406398046e-11
Ptx3,Vasn,1.3659962050383e-11
Fn1,Sqle,1.380129344141778e-11
Bgn,Thbs1,1.389788284456017e-11
Il6st,Nid1,1.464439680631813e-11
Fbln2,Fgfr1,1.501476720733308e-11
Bgn,Vcl,1.70317093761696e-11
Serpinh1,Timp3,1.72858394265063e-11
Col3a1,Sdc4,1.738287291885854e-11
Angptl2,Bgn,1.748301503567973e-11
Fn1,Prss23,1.760647183601804e-11
Ptx3,Serpine1,1.764455248576269e-11
Col6a1,Col6a3,1.774835833856514e-11
Itgb1,Sdc4,1.793953874340559e-11
Bgn,Ltbp1,1.856570452929418e-11
Thbs1,Vcan,2.179056934892287e-11
Slc38a2,Thbs1,2.244082697444583e-11
Myadm,Serpinh1,2.302946722210208e-11
Fbln2,Rpn2,2.427713585717584e-11
Cdh11,Fbln2,2.752020833440838e-11
Col1a1,Ncln,2.792432951537194e-11
Col4a2,Nid1,2.825339961987083e-11
Col3a1,Pdia3,3.013600480272771e-11
Postn,Serpinf1,3.137801130037587e-11
Fbln2,Igf2,3.623734645685772e-11
Adamts1,Vasn,3.756916999719806e-11
Il6st,P4hb,4.46022108135935e-11
Fbn1,Vcan,4.625133609437171e-11
Bgn,Prss23,4.785150053976395e-11
Col1a1,Dlk1,4.971145717291847e-11
Col1a1,Fgfr1,5.002187553060367e-11
Bgn,Slit2,5.378653078480511e-11
Dynll2,Kif1c,5.402367442286504e-11
Aqp1,Bgn,5.500899735721987e-11
Hspg2,Thbs1,5.594635865691089e-11
Fbln2,Rpn1,5.791345181194174e-11
Cdh11,Col1a1,5.837752503623506e-11
Col1a1,Slc38a10,6.364542226577896e-11
Angptl2,Col1a1,6.624445436642645e-11
Pdia4,Vcan,7.469047602626233e-11
Col1a1,Ganab,7.746248087414642e-11
Clstn1,Fn1,8.965894693346854e-11
Dlk1,Serpinh1,9.011325019514516e-11
Lox,Timp3,9.404477196994776e-11
Emp1,Fstl1,9.771283782100681e-11
Flna,Iqgap1,1.009863304091141e-10
Col5a1,Pdia4,1.049784703610612e-10
Bgn,Lamc1,1.080914246998077e-10
Fbln2,Ptx3,1.10423004073823e-10
Nid1,Slc38a2,1.121071013798769e-10
Col5a2,Col6a1,1.139365268798542e-10
Nid1,Sdc4,1.169098151621029e-10
Axl,Emp1,1.17050036330113e-10
Emb,Fbln2,1.186667430985722e-10
Aebp1,Postn,1.221726053657335e-10
Aebp1,Col3a1,1.247771885815041e-10
Col6a2,Fstl1,1.279811812082698e-10
Bgn,Man2a1,1.285817008422896e-10
Fstl1,Pdia3,1.341606825633335e-10
Bgn,Ctsd,1.423231532626801e-10
Col1a1,Dag1,1.647867398091307e-10
Fat1,Thbs1,1.702752383536676e-10
Cdh2,Fbln2,1.716251585293094e-10
Atp1a1,Fn1,1.718148956442178e-10
Col6a1,Itgb1,1.854157938296908e-10
Myadm,P4hb,1.986056874514475e-10
Dlk1,Lox,2.048605729498831e-10
Ckap4,Nid1,2.094531215135476e-10
Ckap4,Col6a2,2.149214139990363e-10
Col5a2,Lox,2.182223290958518e-10
Col1a1,Mogs,2.226396844662304e-10
Emp1,Il6st,2.244286978481114e-10
Emp1,Myadm,2.27394547636095e-10
Aebp1,Pdia4,2.318185643446213e-10
Ckap4,Serpinh1,2.342895877305295e-10
Col1a1,Slc3a2,2.509014107587859e-10
Fbln2,Pcolce,2.615895278168523e-10
Col6a2,Itgb1,2.882163396833448e-10
Emp1,Pdia6,2.925273356879643e-10
Chpf,Col1a1,2.948862265483854e-10
Postn,Serpinh1,2.96023205947904e-10
Lrp1,Nid1,3.248241675635199e-10
Loxl3,P4hb,3.300656414850778e-10
Aebp1,Col6a3,3.332373266218269e-10
Fbln2,Ncln,3.428829442597703e-10
Col16a1,Nid1,3.450041363706191e-10
Bgn,Rpn1,3.711335683220796e-10
Nid1,Vcan,3.711450036192332e-10
Calu,Pdia3,3.82647913355072e-10
Col6a1,Pdia3,3.939303327982202e-10
Bgn,Hyou1,4.591055313696302e-10
Col1a1,Mmp14,4.77103467844131e-10
Col16a1,Col6a2,4.891067550971684e-10
Igf2,Postn,4.965926558853084e-10
Itgav,Lox,5.107340106391689e-10
Col5a1,Ptx3,5.129944247173057e-10
Postn,Sdc4,5.149056736541979e-10
Pcdh19,Vasn,5.172232642181029e-10
Aplp2,Fbln2,5.587085238900613e-10
Col6a2,Thbs1,6.078086922656212e-10
Ltbp1,Pdgfrb,6.144439401722934e-10
Col6a2,Rpn2,6.408266139956709e-10
Bgn,Slc38a10,6.427798293628939e-10
Fbln2,Sec61a1,6.539256913740132e-10
Emp1,Ptx3,6.783562600531923e-10
Lrp1,Tnc,6.808120733836631e-10
Aebp1,Igf2,7.100598997666907e-10
Aebp1,Pcolce,7.401946833240913e-10
Col6a1,Igf2,7.469347362842882e-10
Pam,Ptk7,7.702818383137355e-10
Ckap4,Thbs1,7.720697414725919e-10
Col1a1,Rpn1,8.286399344470396e-10
Dlk1,Fbln2,8.927433237104765e-10
Axl,Nid1,9.132302691838845e-10
Col4a2,Sec61a1,9.142658852212548e-10
Dhcr24,Fbln2,9.65140745101678e-10
Aebp1,Aqp1,9.778773346624803e-10
Ckap4,Col5a2,9.802323397423152e-10
Fkbp10,Lox,1.002938287975041e-09
Col5a1,Itgav,1.011563832697959e-09
Myadm,Serpinf1,1.056753462513882e-09
Dlk1,Pcolce,1.060282195375351e-09
Bgn,Col4a2,1.077303579677391e-09
Emp1,Serpinf1,1.108209191080789e-09
Col6a2,Serpinf1,1.139203509303854e-09
Adam9,P4hb,1.153010242838093e-09
Sdc4,Serpinf1,1.162805851606663e-09
Col6a2,Col6a3,1.163963370132137e-09
