opc,mye,opc_n,mye_n,opal,lx,ly,rep,d
0.7805148222178765,0.3874871446220607,18,17,5,17003.4,7727.2,rep2,-0.3930276775958158
0.5251572939229405,0.43550782641103236,19,10,0,17429.0,7065.9,rep2,-0.08964946751190817
0.6453092653841943,0.4312477880228097,19,15,14,18003.8,6042.0,rep2,-0.2140614773613846
0.7067324762071334,0.2534324027549173,15,16,1,17019.9,6623.4,rep2,-0.4533000734522161
0.4581054348588911,0.6611608644375923,61,12,3,17023.5,7239.7,rep2,0.20305542957870115
0.33989196219044215,0.5258127010065498,32,7,0,18070.0,6781.8,rep2,0.1859207388161076
0.39285182526364876,0.4409024350098321,78,4,0,18120.3,7033.5,rep2,0.04805060974618336
0.2940098095204955,0.31879737185306173,36,10,1,15924.2,7747.0,rep2,0.024787562332566238
0.4604100131575568,0.579955958260966,24,19,23,15716.6,6676.2,rep2,0.11954594510340921
0.8537938398680318,0.41599830408858857,8,29,12,15776.0,6837.7,rep2,-0.43779553577944325
0.37408512071922656,0.69300111463383,63,19,0,15815.7,5705.1,rep2,0.3189159939146034
0.45158931763735255,0.5491651564138783,80,4,0,15978.1,5364.1,rep2,0.09757583877652576
0.42324782666472216,0.5154507929084368,54,11,0,21902.5,16111.3,rep2,0.0922029662437146
0.6759129387883364,0.5842149144305943,13,21,7,21316.1,19586.6,rep2,-0.0916980243577421
0.4866143703420558,0.5317190537158657,49,10,7,21250.7,17427.8,rep2,0.045104683373809906
0.3650928350926006,0.6314998012360535,42,30,0,21080.1,16593.0,rep2,0.26640696614345294
0.6282248962092604,0.6356256593958314,14,32,3,20766.7,16991.4,rep2,0.007400763186571013
0.3543234843055168,0.6464969385573288,54,17,1,21559.2,16721.5,rep2,0.292173454251812
0.442036225794901,0.5040395701632086,53,11,1,20501.3,18990.4,rep2,0.06200334436830757
0.608606181261583,0.5877245929794137,26,19,2,20751.7,17929.1,rep2,-0.02088158828216924
0.4753588548257163,0.5143645503640799,46,9,0,20777.2,17620.6,rep2,0.03900569553836358
0.5763655516356463,0.336517575153392,8,26,12,22199.7,17765.4,rep2,-0.2398479764822543
0.43975916053722414,0.6663687204629454,16,5,0,22114.5,17913.6,rep2,0.22660955992572124
0.2966143331762008,0.8155355049472011,33,10,0,21931.2,17985.4,rep2,0.5189211717710003
0.31417230105550975,0.5156416279650297,50,6,2,21797.2,18194.8,rep2,0.2014693269095199
0.30730711597242516,0.6509080994412751,57,24,0,20249.7,17703.1,rep2,0.34360098346885
0.3597988963729213,0.5123164011985488,35,21,0,19716.5,19605.8,rep2,0.15251750482562754
0.41671458878423484,0.7946509472565019,32,8,0,19629.5,17434.3,rep2,0.37793635847226703
0.6574907778820118,0.6962098447695033,11,20,2,19922.3,19134.6,rep2,0.03871906688749149
0.897076057591746,0.5311690938583727,7,39,8,19717.6,16127.5,rep2,-0.3659069637333733
0.5743662449593878,0.6361570803994674,30,10,0,31342.1,7565.9,rep2,0.06179083544007957
0.51120259450285,0.4414070807405104,38,19,20,35323.0,19098.5,rep2,-0.06979551376233961
0.4997938747043449,0.6300172248944971,45,5,0,35856.0,19743.2,rep2,0.1302233501901522
0.34357662181263593,0.5025421916560261,11,8,1,35505.3,19486.2,rep2,0.15896556984339016
0.247379375125089,0.3351343932270727,34,6,0,36856.9,18848.8,rep2,0.08775501810198372
0.35972483676082073,0.5487444084058508,28,16,12,36045.2,17890.5,rep2,0.18901957164503008
0.6390147282747671,0.377305765826438,19,35,31,35466.6,17287.0,rep2,-0.26170896244832914
0.3685778685104613,0.60665678007943,80,13,0,3165.2,9299.0,rep2,0.2380789115689687
0.5577400388260504,0.3452513848490043,42,13,8,7135.2,23177.9,rep2,-0.21248865397704608
0.6783926306042695,0.33449600193047313,12,14,9,6951.4,20013.9,rep2,-0.34389662867379633
0.4229962884745653,0.41309935092372985,52,5,2,19033.1,11108.2,rep2,-0.009896937550835427
0.6579049043196704,0.4617943580514746,11,38,8,19084.6,11074.4,rep2,-0.1961105462681958
0.618168238878732,0.48602205864854253,23,20,7,19260.4,11417.7,rep2,-0.13214618023018943
0.436631606775142,0.7523931229978051,54,7,0,18828.5,10641.2,rep2,0.31576151622266313
0.314985912842251,0.4255908846233376,51,6,6,19290.4,10904.9,rep2,0.11060497178108658
0.286077157094027,0.30269365739967447,27,25,13,17071.0,11468.4,rep2,0.016616500305647486
0.6041106056884935,0.3143067985709258,4,18,1,18082.9,11073.4,rep2,-0.2898038071175677
0.43678325918328625,0.3344199852513695,27,21,4,17416.2,9979.0,rep2,-0.10236327393191674
