partner,delta,z,fdr,S_epi,S_int,S_deep
S100A4,-0.0870712401055409,-3.970097749767617,0.0021279682739275526,0.0633245382585752,0.11873350923482849,0.1503957783641161
CD163,-0.0880503144654088,-2.605684069913651,0.022488755622188907,0.05660377358490566,0.050314465408805034,0.14465408805031446
ZEB2,-0.09212798054365348,-3.7716114048842946,0.0021279682739275526,0.18228279386712096,0.20783645655877342,0.27441077441077444
ERBB2,-0.10420168067226891,-6.798874541321619,0.0021279682739275526,0.02689075630252101,0.06554621848739496,0.13109243697478992
LPL,-0.10434782608695652,-3.147493797788524,0.007539087599057614,0.11304347826086956,0.1565217391304348,0.21739130434782608
CCDC80,-0.10626185958254275,-3.447502667775792,0.0021279682739275526,0.5161290322580645,0.540796963946869,0.6223908918406073
LUM,-0.11016949152542377,-4.94392345932418,0.0021279682739275526,0.731638418079096,0.7443502824858758,0.8418079096045198
FBLN1,-0.11498257839721254,-2.863908294852405,0.018140929535232383,0.3205574912891986,0.4146341463414634,0.4355400696864111
PDGFRB,-0.11821705426356588,-4.311760234474356,0.0021279682739275526,0.1937984496124031,0.25775193798449614,0.312015503875969
TOMM7,-0.11988304093567251,-6.311137848770858,0.0021279682739275526,0.08187134502923976,0.1111111111111111,0.20175438596491227
POSTN,-0.16187594553706508,-6.154876657716237,0.0021279682739275526,0.5340393343419062,0.5809379727685325,0.6959152798789713
ACTA2,-0.16287743574100394,-7.745298907143435,0.0021279682739275526,0.13997113997113997,0.22638680659670166,0.3028485757121439
