pole,Term,Adjusted P-value,Genes
APICAL,Copper Homeostasis WP3286,0.0366676751850792,CCND1;MDM2;ADAM9
APICAL,Glioblastoma Signaling Pathways WP2261,0.0407505650052881,CCND1;ERBB2;MDM2;EGFR
APICAL,Androgen Receptor Network In Prostate Cancer WP2263,0.0407505650052881,FOXA1;AR;CCND1;MDM2
APICAL,TROP2 Regulatory Signaling WP5300,0.0407505650052881,CCND1;CDH1;TACSTD2;EGFR
APICAL,CKAP4 Signaling Pathway Map WP5322,0.0800645372129668,DSP;CCND1;CDH1;MDM2;EGFR
APICAL,DNA Damage Response Only ATM Dependent WP710,0.0800645372129668,CCND1;ERBB2;MDM2
APICAL,Head And Neck Squamous Cell Carcinoma WP4674,0.0800645372129668,CCND1;ERBB2;EGFR
APICAL,Hair Follicle Development Cytodifferentiation Part 3 Of 3 WP2840,0.0853956151105972,KRT15;GATA3;EGFR;DSC2
APICAL,miRNA Regulation Of Prostate Cancer Signaling Pathways WP3981,0.0853956151105972,AR;CCND1;MDM2
APICAL,Melanoma WP4685,0.0853956151105972,CCND1;CDH1;MDM2
APICAL,Mesodermal Commitment Pathway WP2857,0.0927767700014169,FOXA1;CCND1;CCDC6;GATA3
APICAL,Nuclear Receptors Meta Pathway WP2882,0.1361303761404451,CCND1;SCD;FASN;EGFR
APICAL,Focal Adhesion WP306,0.1885358781689937,CCND1;ERBB2;FLNB;EGFR
APICAL,VEGFA VEGFR2 Signaling WP3888,0.2303196214037446,CCND1;MDM2;ADAM9;FLNB
APICAL,Mammary Gland Development Pathway Pregnancy And Lactation Stage 3 Of 4 WP2817,0.2408776886358304,CCND1;ERBB2;EGFR
APICAL,Gastrin Signaling Pathway WP4659,0.2408776886358304,CCND1;CDH1;EGFR
APICAL,EGFR Tyrosine Kinase Inhibitor Resistance WP4806,0.2408776886358304,CCND1;ERBB2;EGFR
APICAL,Breast Cancer Pathway WP4262,0.2408776886358304,CCND1;ERBB2;EGFR
APICAL,Hippo Merlin Signaling Dysregulation WP4541,0.2408776886358304,CCND1;CDH1;EGFR
APICAL,Pleural Mesothelioma WP5087,0.4445000740288142,CCND1;CDH1;MDM2;EGFR
APICAL,IL 24 Signaling Pathway WP5413,0.4812762520641526,TOP2A;CCND1;CDH1;EGFR
APICAL,Focal Adhesion PI3K Akt mTOR Signaling Pathway WP3932,0.4904315613115291,FOXA1;MDM2;EGFR
APICAL,PI3K Akt Signaling Pathway WP4172,0.4904315613115291,CCND1;MDM2;EGFR
BASAL,Supramolecular Fiber Organization (GO:0097435),0.2088612979504641,LUM;KRT16;KRT14;MYH11;KRT5;KRT6B
BASAL,Organelle Organization (GO:0006996),0.2088612979504641,DST;KRT16;CAV1
BASAL,Cellular Response To Ketone (GO:1901655),0.2088612979504641,POSTN;SFRP1;AQP1
BASAL,Intermediate Filament Organization (GO:0045109),0.2088612979504641,KRT16;KRT14;KRT5;KRT6B
BASAL,Positive Regulation Of Wnt Signaling Pathway (GO:0030177),0.2088612979504641,ZEB2;SFRP1;CAV1
BASAL,Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),0.2088612979504641,ZEB2;SFRP1;CAV1
BASAL,Defense Response To Bacterium (GO:0042742),0.2088612979504641,FCER1G;LYZ;AQP1
BASAL,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),0.2088612979504641,ZEB2;SFRP1;CAV1
BASAL,Regulation Of Cell Migration (GO:0030334),0.2088612979504641,PDGFRB;SFRP1;KRT16;CAV1;KRT5;MYLK
BASAL,Extracellular Matrix Organization (GO:0030198),0.2088612979504641,POSTN;CCDC80;LUM
BASAL,Regulation Of Angiogenesis (GO:0045765),0.2088612979504641,SFRP1;AQP1;RUNX1
BASAL,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.2675517892257593,ZEB2;SFRP1;CAV1;RUNX1
BASAL,Negative Regulation Of Apoptotic Process (GO:0043066),0.2675517892257593,SFRP1;CAV1;AQP1
BASAL,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),0.2890892033946094,ZEB2;CAV1;RUNX1
BASAL,Positive Regulation Of Cell Population Proliferation (GO:0008284),0.3377291953267985,PDGFRB;SFRP1;PTN;AQP1
BASAL,Positive Regulation Of Cell Migration (GO:0030335),0.3680887976722623,PDGFRB;CAV1;MYLK
BASAL,Positive Regulation Of Cell Motility (GO:2000147),0.3680887976722623,PDGFRB;CAV1;MYLK
BASAL,Positive Regulation Of Cellular Process (GO:0048522),0.3709633165502098,PDGFRB;SFRP1;CAV1;PTN
BASAL,Regulation Of Cell Population Proliferation (GO:0042127),0.4483484861847928,PDGFRB;SFRP1;PTN;RUNX1
BASAL,Regulation Of Gene Expression (GO:0010468),0.5203832139083605,ACTA2;SFRP1;ACTG2
BASAL,Positive Regulation Of DNA-templated Transcription (GO:0045893),0.6102533803368929,ZEB2;SFRP1;RUNX1
BASAL,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.6953725406271785,ZEB2;CAV1;RUNX1
BASAL,Regulation Of DNA-templated Transcription (GO:0006355),0.7520249554939722,ZEB2;SFRP1;RUNX1
BASAL,Intermediate Filament (GO:0005882),0.006929718015462,DST;KRT16;KRT14;KRT5;KRT6B
BASAL,Keratin Filament (GO:0045095),0.0142286418119944,KRT16;KRT14;KRT5;KRT6B
BASAL,Intermediate Filament Cytoskeleton (GO:0045111),0.0395131258037,DST;KRT16;KRT14;KRT5
BASAL,Cell-Substrate Junction (GO:0030055),0.0655976717809629,PDGFRB;ENAH;SVIL;DST;CAV1
BASAL,Focal Adhesion (GO:0005925),0.0655976717809629,PDGFRB;ENAH;SVIL;DST;CAV1
BASAL,Polymeric Cytoskeletal Fiber (GO:0099513),0.0834708859025452,DST;KRT16;KRT14;KRT5
BASAL,Cytoskeleton (GO:0005856),0.2371227110031174,SVIL;DST;KRT16;MYLK
BASAL,Collagen-Containing Extracellular Matrix (GO:0062023),0.2371227110031174,POSTN;SFRP1;CCDC80;DST;LUM
BASAL,Nucleus (GO:0005634),0.4211406770357643,PDGFRB;SVIL;ZEB2;DST;KRT16;KRT14;KRT5;AQP1;RUNX1
BASAL,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.480045925741984,ZEB2;KRT16;CAV1
BASAL,Intracellular Membrane-Bounded Organelle (GO:0043231),0.480045925741984,PDGFRB;SVIL;ZEB2;DST;KRT16;KRT14;KRT5;AQP1;RUNX1
